Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Saint Vincent and the Grenadines,Measles,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Measles,0,0,0,0,11,"5,687",0,3,,,,,1,0,8,0,,,0,0,0,0,,,
San Marino,Measles,2,0,0,0,0,12,0,0,0,,,,1,0,0,0,,0,0,0,0,3,,,1
Sao Tome and Principe,Measles,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Measles,"1,260","2,254",247,338,35,"1,035","1,164",459,125,219,154,"1,164",294,362,334,82,158,"4,648",807,373,"1,880","1,208",311,155,
Senegal,Measles,496,564,508,187,212,267,12,11,162,58,32,17,46,18,428,999,6,11,3,0,31,"1,519","18,184","24,789","5,839"
Serbia,Measles,892,50,0,1,0,22,"5,076",721,11,383,37,1,0,370,20,1,2,201,2,2,11,15,63,35,38
Seychelles,Measles,2,0,0,0,27,0,,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,
Sierra Leone,Measles,129,645,731,170,17,40,344,"1,873",920,607,"1,006",15,678,"1,865","1,089",31,44,0,33,29,7,586,568,649,"3,575"
Singapore,Measles,12,,,,,152,38,70,,,,138,42,148,50,16,18,15,23,33,96,33,211,408,141
Sint Eustatius,Measles,0,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),Measles,,,,,,,0,0,,,,,,,,,,,,,,,,,
Slovakia,Measles,4,6,0,0,0,318,565,7,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Slovenia,Measles,17,1,0,0,6,51,9,8,1,18,52,1,2,22,2,0,0,0,0,0,0,0,0,0,
Solomon Islands,Measles,,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,Measles,"1,529","3,167","17,361","7,191","2,531",283,"9,126","23,039",26,"7,497","10,229","3,173","9,983","17,298",115,13,"1,081","1,149",7,,"12,008","8,257","9,559","3,571","3,965"
South Africa,Measles,931,"1,033",400,21,40,59,71,210,18,17,66,25,32,92,"12,499","5,857",39,31,81,615,830,244,"1,043","1,166","1,459"
South Sudan,Measles,"3,114","7,957","3,608",,"1,290","3,401",263,487,898,878,441,525,"1,952","1,256",,,,,,,,,,,
Spain,Measles,227,15,1,2,89,288,225,161,37,115,154,131,"1,204","3,802",302,41,297,267,362,22,26,256,67,,152
Sri Lanka,Measles,298,810,0,,2,49,1,1,112,"1,568","1,686","2,107",51,60,79,21,33,44,0,3,35,65,139,309,"16,527"
