Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Norway,Measles,1.8,0.4,0.2,0,0.7,3.4,2.3,0.2,0,2.7,0.6,1.6,0.8,7.9,0.6,0.4,0.8,,0,0,1.5,1.8,1.1,0.9,0
"occupied Palestinian territory, including east Jerusalem",Measles,,0.6,,2.1,197.4,46,0,13.3,,,,,,,0.2,,,,,,,,,,1.6
Oman,Measles,2.5,5,1.1,0,1.5,0,0,2,25.3,0,,0,3.7,1.6,1.1,7.1,6.9,9.3,5.2,10.2,7.5,0.4,2.1,6.5,6.6
Pakistan,Measles,98.3,71.6,34.4,43.4,11.7,9,145.5,41.1,12.3,1.8,6.4,41.4,38.7,21.5,21.7,4.4,6,15.2,42.5,17,24.8,28.4,23.9,24.2,13.3
Palau,Measles,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
Panama,Measles,0,,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,Measles,4.4,1.2,0.2,0,0.4,0.1,2,0.8,0,4.3,269.7,1.4,0,0,0,0,0,0,0.1,187,218.9,630.8,"2,974.30",702.3,"1,288.60"
Paraguay,Measles,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Measles,0.1,0,0,0,0,0.1,1.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Measles,33.2,25.2,5.2,1.8,34.2,437.9,190.3,22.5,6.7,5.9,567.1,28.6,15.3,66.5,66.1,15.6,3.7,5.8,0.1,1.3,35,124.1,84.3,90.4,89.4
Poland,Measles,7.1,0.9,0.7,0.3,0.8,35.8,9.4,1.6,3.2,,,2.2,1.9,,0.3,3,,1.1,3.2,0.3,0.3,1.3,0.9,3.5,2
Portugal,Measles,3.4,0,0,0,1,1,15.7,3.3,3.3,0,,0.1,2.2,0.2,0.5,0.3,0.1,0,0,0.7,0.5,0.8,0.8,,4.4
Qatar,Measles,18,42.6,0.3,0.4,1.1,1.8,0.7,3.3,11.5,7.4,20.7,35.9,83.9,55.8,172.6,70.6,,298.7,148,89.7,37.5,32.2,47.8,33.9,71.3
Republic of Korea,Measles,0.9,0.1,,0,0.1,3.7,0.3,0.1,0.4,0.1,8.7,2.1,0,0.9,2.3,0.4,0,4,0.6,0.1,0.2,0.7,1.3,490.2,698.1
Republic of Moldova,Measles,71.2,1,,0,,28.9,107.8,0,0,0,0.6,7.9,3.2,0,0,0,0,2.6,8.7,1.5,1,21.2,"1,189.70",109.1,162.2
Romania,Measles,"1,341.30",192.3,0.9,0.1,51.8,200,326.9,461,123.1,0.2,3,57.8,369.6,206.5,9.4,0.4,0.6,16.9,151.9,237.7,5.5,0.4,0.6,0.5,1.6
